Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Understand SQL: Explore the Power and Versatility of the SQL Database Language,"No matter how many new programming languages and database structures keep popping up, SQL remains arguably the most widely used database language in the world. And with the field of data science rapidly on the rise, the demand for skilled programming professionals continues to grow with it. In this course, instructor Christina Stathopoulos helps you build out your understanding of SQL, its history and context, and why it’s so important for anyone working with data.<br><br>Get ready for a stepping-stone introduction to SQL before you start writing code of your own, developing your awareness of the language itself and priming your skill set for hands-on learning. By the end of this course, you’ll know about the benefits and resilience of SQL in an ever-changing tech world, along with a handful of some of the most commonly used tools and command families that allow you to define, manipulate, control and query your data.",Course,2025-07-08 03:45 UTC,N/A,false,N/A,
Build with AI: Creating AI Agents with OpenAI's Responses API,"Learn to build intelligent business automation tools by creating your own agent. In this hands-on course, senior data engineer and AI engineer Vlad Gheorghe gives you hands-on experience through building a sales support agent. Use the latest Responses API and o3 model from OpenAI to build an AI agent that automatically identifies prospects, researches their backgrounds, calculates optimal contact timing, and generates personalized sales briefs. Starting with OpenAI Playground, you will learn how to build powerful AI agents without complex programming. When you complete this course, you'll have a working automation tool that demonstrates real-world AI integration skills.",Course,2025-10-24 21:15 UTC,N/A,false,N/A,
Docker Foundations Professional Certificate,"Containers help developers pack up their applications, ensuring they run smoothly anywhere. Software developers need to understand these technologies to deliver software as a team. Whether you are new to Docker or looking to review the fundamentals, these courses can help. Tune in, pass the final exam, and earn your certificate.",Learning Path,2025-07-20 03:53 UTC,2025-07-20 03:53 UTC,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:64e7d6a6498eb1b2e6129477,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:64e7d6a6498eb1b2e6129477,Learning Path,N/A,N/A,true,N/A,
Career Essentials in Sustainable Tech by Microsoft and LinkedIn,"Harness the power of technology to foster sustainable change. This learning path will equip you with an understanding of sustainability concepts vital to businesses, ways sustainability can drive innovation, and tech solutions that can help companies meet strategic sustainability goals.",Learning Path,2025-07-08 03:44 UTC,2024-09-05 08:05 UTC,false,N/A,
Career Essentials in Generative AI by Microsoft and LinkedIn,"Generative AI is reshaping industries by transforming how work gets done. This learning path puts you at the forefront of this creative revolution, covering content creation, key models, future trends, ethical considerations, and tools like Microsoft Copilot. Gain essential skills to harness generative AI in your career. Start today so you can lead in this transformative era.",Learning Path,N/A,N/A,true,N/A,
Career Essentials in GitHub Copilot Professional Certificate,"GitHub Copilot transforms coding with AI pair programming capabilities. This certificate program teaches you to leverage Copilot to write, refactor, and improve code while maintaining ethical standards. You'll learn to use Copilot Chat extensions, optimize your development workflow, and create reliable code responsibly. Tune in, pass the final exam, and earn your certificate.",Learning Path,2025-07-18 21:22 UTC,2025-07-18 21:20 UTC,true,N/A,
Microsoft Copilot for Productivity by Microsoft and LinkedIn,"Copilot in Microsoft 365 can help you work smarter, faster, and more efficiently with the tools you use every day. In this learning path, you'll discover how to leverage Copilot across the most-used tools in the Microsoft 365 suite: Word, Excel, Outlook, PowerPoint, and Teams. Learn how to streamline workflows, create and refine documents and presentations, master the art of prompt writing, and increase collaboration with AI-powered tools.",Learning Path,2025-12-15 05:24 UTC,2025-12-15 05:23 UTC,true,N/A,
Career Essentials in GitHub Professional Certificate,"Want to advance your developer journey? Are you a new computer science grad looking for a developer role? These courses teach the skills to enrich your GitHub portfolio and elevate your profile in today's competitive job market. Tune in, pass the final exam, and earn your professional certificate.",Learning Path,N/A,N/A,true,N/A,
Atlassian IT Service Management (ITSM) Professional Certificate,"In an evolving technological landscape, effective IT service management (ITSM) practices are vital for organizational success. These courses equip you with the latest skills in service desk management, change management, problem resolution, and performance metrics. Tune in, pass the final exam, and earn your certificate.",Learning Path,2025-12-15 08:00 UTC,2025-12-15 07:59 UTC,true,N/A,
Microsoft Azure AI Essentials Professional Certificate by Microsoft and LinkedIn,"Boost your AI expertise with this Professional Certificate. This learning path covers generative AI, NLP, computer vision, document intelligence, and machine learning using Microsoft Azure tools. Gain hands-on experience through demos, explore responsible AI practices, and learn to drive business innovation. Start today to master AI on Azure! Complete the course, pass the final exam, and earn your certificate.",Learning Path,2025-07-18 15:32 UTC,2025-07-17 22:25 UTC,false,N/A,
Generative AI for Sales with Microsoft 365 Copilot Professional Certificate,"Equip yourself with the skills to thrive in the AI-driven future of sales. Discover how to harness AI-powered tools like Microsoft 365 Copilot to enhance sales strategies, generate leads, analyze data with precision, and create compelling presentations effortlessly. Stay at the forefront of innovation and elevate your sales performance with the power of AI. Complete the courses, pass the exam, and earn your certificate.",Learning Path,N/A,N/A,true,N/A,
Generative AI for Marketing with Microsoft 365 Copilot Professional Certificate,"Harness the power of generative AI to revolutionize your marketing strategy and stay ahead. In this learning path, you’ll master the art of generative AI prompt writing and leverage Microsoft 365 Copilot to create compelling presentations, analyze data efficiently, and supercharge your marketing campaigns. Tune in, pass the exam, and earn your certificate.",Learning Path,N/A,N/A,true,N/A,
Refactoring with GitHub Copilot,"GitHub Copilot can create code, but it can also help you improve, clean up, and remove existing code. Refactoring is a crucial but often challenging aspect of maintaining applications, and Copilot can make it easier for you to explore how code changes might look. In this course, instructor Gary Kovar takes you through using Copilot in a few different situations, working with different aspects of programming. Learn how Copilot might (or might not) fit your set of challenges.",Course,2025-07-18 21:09 UTC,2025-07-18 21:09 UTC,false,N/A,
Microsoft Copilot: The Art of Prompt Writing,"<p>Unlock the power of Microsoft Copilot through the art and science of prompt-writing. Summarize meetings in Teams, edit text in Word, catch up on long email threads in Outlook, and more by learning to craft well-composed, conversational prompts. Learn how to have Copilot assist you in your everyday tasks.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-marketing-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-12-15 04:53 UTC,2025-12-15 04:53 UTC,false,N/A,
PLC Simulation Software: Factory I/O with Connected Component Workbench,"There’s a strong demand for people who can program Programmable Logic Controllers (PLCs). However, new learners might not have access to an actual PLC to learn. Simulation software helps fill that gap. In this course, instructor Zara Khalil covers two simulation softwares by going through projects that grow progressively more complicated. Zara goes over the interface and programming methodologies for Connected Components Workbench (CCW) software, then introduces you to the CCW Micro800 PLC simulator. After a software demonstration using the CCW simulator, she gives you an overview of Factory I/O software and shows you how to download and use Factory I/O. Once you have both softwares installed and ready to go, Zara dives into the actual projects: a control panel, a conveyor belt, a filling tank with timer, and a PLC program to sort cardboard boxes by height. After completing the projects, she presents some useful troubleshooting tips for CCW software and Factory I/O.",Course,2025-08-12 04:34 UTC,N/A,false,N/A,
Hands-On AI: Building AI Agents with Model Context Protocol (MCP) and Agent2Agent (A2A),"This course introduces you to the Model Context Protocol (MCP) and Agent2Agent (A2A) communication frameworks essential for designing context-aware, collaborative AI agents. Explore MCP architectures, tools, and implementations, and learn how to build AI applications and agents that leverage rich contextual understanding. Additionally, instructor Kumaran Ponnambalam dives into A2A's structure, workflow, and practical applications, helping you gain hands-on experience with multi-agent ecosystems. Check out this course to gain the practical knowledge to design, implement, and execute intelligent, interconnected AI agents in real-world scenarios.",Course,2025-12-15 06:08 UTC,2025-12-15 06:07 UTC,true,N/A,
PyTorch Essential Training: Deep Learning,"<p>PyTorch is the most flexible and expressive library for deep learning, and offers simple Python API, GPU support, and flexibility. It’s designed to load data, apply transforms, and build deep learning models with just a few lines of code. Many machine learning developers and researchers use PyTorch to accelerate deep learning research, experimentation, and prototyping. In this course, software developer Terezija Semenski teaches you the important features of PyTorch with a hands-on approach to help you develop the skills you need to dive into your deep learning projects.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-07-07 15:52 UTC,2025-07-07 15:51 UTC,false,N/A,
Data Engineering Foundations,"<p>Data science can be generally defined as the process of making data useful, and data engineering is a key part of how and why. If you think of data science like a race car, the data engineers are the pit crew. They’re not driving the car, but they make the car much easier to drive. Data engineers make sure the data flow is running smoothly, monitor systems, anticipate problems, and repair the data pipeline whenever problems arise. They extract and gather data from multiple sources and load it into a single, easy-to-query database. In short, data engineers make data scientists’ lives easier.<p></p>In this course, Harshit Tyagi explains the fundamentals of data engineering. He covers key topics like data wrangling, database schema, and developing ETL pipelines. He also details several data engineering tools like Hive, Hadoop, Spark, and Airflow. By the end of this course, it should be abundantly clear why the data engineer is one of the most valuable people in a data-driven organization.</p>",Course,2025-07-27 04:08 UTC,2025-07-27 04:02 UTC,false,N/A,
