Question,Answer
What is your level of proficiency in eng?,Professional
How many years of urn:li:industry:52 experience do you currently have?,0
How many years of work experience do you have with Model-based Systems Engineering (MBSE)?,1
Are you legally authorized to work in the United States?,Yes
How many years of work experience do you have with Set Top Box?,1
Race/Ethnicity,Asian (Not Hispanic or Latino)
How many years of work experience do you have with Databases?,3
How many years of work experience do you have with Enterprise JavaBeans (EJB)?,0
How many years of work experience do you have with Tomcat?,0
How many years of urn:li:industry:148 experience do you currently have?,0
"How many years of work experience do you have with Extract, Transform, Load (ETL)?",0
Description,
Major / Field of study,
How many years of urn:li:industry:1 experience do you currently have?,0
How many years of work experience do you have with Microsoft Azure?,1
How many years of work experience do you have with Data Mining?,0
Mobile phone number, +1 7473660793
How many years of work experience do you have with REST APIs?,3
Veteran status,NotProtectedVeteran
How many years of work experience do you have with Amazon Web Services (AWS)?,0
State / Province,
How many years of work experience do you have with Apache?,1
First name,
How many years of work experience do you have with Data Analysis?,0
How many years of work experience do you have with Linux?,1
School,
How many years of work experience do you have with MATLAB?,1
How many years of work experience do you have with Bash?,2
How many years of work experience do you have with C#?,0
<strong>Disability</strong>,No
How many years of work experience do you have with Core Java?,0
City,
Are you comfortable working in a hybrid setting?,Yes
How many years of work experience do you have with Spring Boot?,0
Gender,Male
How many years of work experience do you have with Digital Signal Processing?,2
How many years of work experience do you have with OpenAI API?,1
Company,
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",Yes
Last name,
How many years of work experience do you have with Jakarta Messaging API?,0
Country,
How many years of work experience do you have with React.js?,0
How many years of work experience do you have with Artificial Intelligence (AI)?,2
How many years of work experience do you have with Software as a Service (SaaS)?,2
Degree,
We must fill this position urgently. Can you start immediately?,No
Please submit a resume or LinkedIn profile, -1750999361.pdf
How many years of ENG experience do you currently have?,1
How many years of work experience do you have with Mobile Application Development?,1
How many years of work experience do you have with Solid-State Drive (SSD)?,4
How many years of work experience do you have with iOS?,1
Please submit a resume or LinkedIn profile, -1312561431.pdf
Your title,
How many years of work experience do you have with C++?,3
Location (city),
How many years of work experience do you have with Natural Language Processing (NLP)?,2
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Python (Programming Language)?,4
How many years of work experience do you have with Doors?,1
How many years of work experience do you have with Android?,2
Are you comfortable working in an onsite setting?,Yes
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with Audio Engineering?,2
